,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
0,age,adult,0,0.9159485697746277,adult,mac_hybrid_200_2048_1e-05
1,hair_type,straight,2,0.99446702003479,straight,mac_hybrid_200_2048_1e-05
2,hair_color,black,0,0.9999464750289917,black,mac_hybrid_200_2048_1e-05
3,eye_color,black,1,0.9967603087425232,black,mac_hybrid_200_2048_1e-05
4,monk_scale,scale 9,9,0.9811661839485168,scale 9,mac_hybrid_200_2048_1e-05
5,fitz_type,type vi,5,0.999140739440918,type vi,mac_hybrid_200_2048_1e-05
6,male,1,1,0.9999319,0,mac_hybrid_200_2048_1e-05
7,age,adult,0,0.9724286198616028,adult,mac_hybrid_200_2048_1e-05
8,hair_type,straight,2,0.9897825717926025,straight,mac_hybrid_200_2048_1e-05
9,hair_color,black,0,0.9997333884239197,black,mac_hybrid_200_2048_1e-05
10,eye_color,black,1,0.9993672966957092,black,mac_hybrid_200_2048_1e-05
11,monk_scale,scale 9,9,0.48844581842422485,scale 8,mac_hybrid_200_2048_1e-05
12,fitz_type,type vi,5,0.9995793700218201,type vi,mac_hybrid_200_2048_1e-05
13,male,1,1,0.9999873,0,mac_hybrid_200_2048_1e-05
14,age,adult,0,0.017055323347449303,young adult,mac_hybrid_200_2048_1e-05
15,hair_type,straight,2,0.9630468487739563,straight,mac_hybrid_200_2048_1e-05
16,hair_color,black,0,0.9995052814483643,black,mac_hybrid_200_2048_1e-05
17,eye_color,black,1,0.9863719344139099,black,mac_hybrid_200_2048_1e-05
18,monk_scale,scale 9,9,0.19343619048595428,scale 8,mac_hybrid_200_2048_1e-05
19,fitz_type,type vi,5,0.9946138262748718,type vi,mac_hybrid_200_2048_1e-05
20,male,1,1,0.9997184,0,mac_hybrid_200_2048_1e-05
21,age,adult,0,0.6056389212608337,adult,mac_hybrid_200_2048_1e-05
22,hair_type,straight,2,0.981623649597168,straight,mac_hybrid_200_2048_1e-05
23,hair_color,black,0,0.9996262788772583,black,mac_hybrid_200_2048_1e-05
24,eye_color,black,1,0.9999154806137085,black,mac_hybrid_200_2048_1e-05
25,monk_scale,scale 9,9,0.6372324824333191,scale 9,mac_hybrid_200_2048_1e-05
26,fitz_type,type vi,5,0.9307340979576111,type vi,mac_hybrid_200_2048_1e-05
27,male,1,1,0.9998279,0,mac_hybrid_200_2048_1e-05
28,age,adult,0,0.9309875965118408,adult,mac_hybrid_200_2048_1e-05
29,hair_type,straight,2,0.9979315996170044,straight,mac_hybrid_200_2048_1e-05
30,hair_color,black,0,0.9997878670692444,black,mac_hybrid_200_2048_1e-05
31,eye_color,black,1,0.9977678060531616,black,mac_hybrid_200_2048_1e-05
32,monk_scale,scale 9,9,0.4806688129901886,scale 8,mac_hybrid_200_2048_1e-05
33,fitz_type,type vi,5,0.9984655380249023,type vi,mac_hybrid_200_2048_1e-05
34,male,1,1,0.9945381,0,mac_hybrid_200_2048_1e-05
