,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
0,age,adult,0,0.99265397,adult,mac_hybrid_200_2048_1e-05
1,hair_type,curly,1,0.7408164,curly,mac_hybrid_200_2048_1e-05
2,hair_color,black,0,0.9974954,black,mac_hybrid_200_2048_1e-05
3,eye_color,black,1,0.6083277,black,mac_hybrid_200_2048_1e-05
4,monk_scale,scale 5,5,0.031214574,scale 8,mac_hybrid_200_2048_1e-05
5,fitz_type,type iv,3,0.85974413,type iv,mac_hybrid_200_2048_1e-05
6,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
7,age,adult,0,0.9999329,adult,mac_hybrid_200_2048_1e-05
8,hair_type,curly,1,0.39068678,curly,mac_hybrid_200_2048_1e-05
9,hair_color,black,0,0.9967302,black,mac_hybrid_200_2048_1e-05
10,eye_color,black,1,0.9968574,black,mac_hybrid_200_2048_1e-05
11,monk_scale,scale 5,5,0.5735229,scale 5,mac_hybrid_200_2048_1e-05
12,fitz_type,type iv,3,0.54434854,type iv,mac_hybrid_200_2048_1e-05
13,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
14,age,adult,0,0.99995756,adult,mac_hybrid_200_2048_1e-05
15,hair_type,curly,1,0.13413273,wavy,mac_hybrid_200_2048_1e-05
16,hair_color,black,0,0.98908323,black,mac_hybrid_200_2048_1e-05
17,eye_color,black,1,0.6915579,black,mac_hybrid_200_2048_1e-05
18,monk_scale,scale 5,5,0.5268605,scale 5,mac_hybrid_200_2048_1e-05
19,fitz_type,type iv,3,0.25717053,type v,mac_hybrid_200_2048_1e-05
20,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
21,age,adult,0,0.9923415,adult,mac_hybrid_200_2048_1e-05
22,hair_type,curly,1,0.4816692,curly,mac_hybrid_200_2048_1e-05
23,hair_color,black,0,0.99694186,black,mac_hybrid_200_2048_1e-05
24,eye_color,black,1,0.9667822,black,mac_hybrid_200_2048_1e-05
25,monk_scale,scale 5,5,0.3571283,scale 5,mac_hybrid_200_2048_1e-05
26,fitz_type,type iv,3,0.4597424,type v,mac_hybrid_200_2048_1e-05
27,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
28,age,adult,0,0.9995372,adult,mac_hybrid_200_2048_1e-05
29,hair_type,curly,1,0.039279822,wavy,mac_hybrid_200_2048_1e-05
30,hair_color,black,0,0.9999745,black,mac_hybrid_200_2048_1e-05
31,eye_color,black,1,0.98955286,black,mac_hybrid_200_2048_1e-05
32,monk_scale,scale 5,5,0.20827943,scale 6,mac_hybrid_200_2048_1e-05
33,fitz_type,type iv,3,0.7758068,type iv,mac_hybrid_200_2048_1e-05
34,male,1,1,0.9999995,1,mac_hybrid_200_2048_1e-05
35,age,adult,0,0.99728155,adult,mac_hybrid_200_2048_1e-05
36,hair_type,curly,1,0.046447206,straight,mac_hybrid_200_2048_1e-05
37,hair_color,black,0,0.9968341,black,mac_hybrid_200_2048_1e-05
38,eye_color,black,1,0.26618898,blue,mac_hybrid_200_2048_1e-05
39,monk_scale,scale 5,5,0.11677697,scale 7,mac_hybrid_200_2048_1e-05
40,fitz_type,type iv,3,0.16946404,type v,mac_hybrid_200_2048_1e-05
41,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
42,age,adult,0,0.9668142,adult,mac_hybrid_200_2048_1e-05
43,hair_type,curly,1,0.11811048,wavy,mac_hybrid_200_2048_1e-05
44,hair_color,black,0,0.99230367,black,mac_hybrid_200_2048_1e-05
45,eye_color,black,1,0.5187605,black,mac_hybrid_200_2048_1e-05
46,monk_scale,scale 5,5,0.03475726,scale 8,mac_hybrid_200_2048_1e-05
47,fitz_type,type iv,3,0.6109528,type iv,mac_hybrid_200_2048_1e-05
48,male,1,1,0.99999976,1,mac_hybrid_200_2048_1e-05
49,age,adult,0,0.9995931,adult,mac_hybrid_200_2048_1e-05
50,hair_type,curly,1,0.20708138,wavy,mac_hybrid_200_2048_1e-05
51,hair_color,black,0,0.9975783,black,mac_hybrid_200_2048_1e-05
52,eye_color,black,1,0.99054843,black,mac_hybrid_200_2048_1e-05
53,monk_scale,scale 5,5,0.39682022,scale 6,mac_hybrid_200_2048_1e-05
54,fitz_type,type iv,3,0.79928195,type iv,mac_hybrid_200_2048_1e-05
55,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
56,age,adult,0,0.99079823,adult,mac_hybrid_200_2048_1e-05
57,hair_type,curly,1,0.33742735,coily,mac_hybrid_200_2048_1e-05
58,hair_color,black,0,0.99968183,black,mac_hybrid_200_2048_1e-05
59,eye_color,black,1,0.86043555,black,mac_hybrid_200_2048_1e-05
60,monk_scale,scale 5,5,0.68234384,scale 5,mac_hybrid_200_2048_1e-05
61,fitz_type,type iv,3,0.89214826,type iv,mac_hybrid_200_2048_1e-05
62,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
63,age,adult,0,0.9994024,adult,mac_hybrid_200_2048_1e-05
64,hair_type,curly,1,0.4681351,curly,mac_hybrid_200_2048_1e-05
65,hair_color,black,0,0.9937442,black,mac_hybrid_200_2048_1e-05
66,eye_color,black,1,0.9953257,black,mac_hybrid_200_2048_1e-05
67,monk_scale,scale 5,5,0.7502431,scale 5,mac_hybrid_200_2048_1e-05
68,fitz_type,type iv,3,0.78886664,type iv,mac_hybrid_200_2048_1e-05
69,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
70,age,adult,0,0.9994097,adult,mac_hybrid_200_2048_1e-05
71,hair_type,curly,1,0.50452334,curly,mac_hybrid_200_2048_1e-05
72,hair_color,black,0,0.999376,black,mac_hybrid_200_2048_1e-05
73,eye_color,black,1,0.9358343,black,mac_hybrid_200_2048_1e-05
74,monk_scale,scale 5,5,0.15848511,scale 8,mac_hybrid_200_2048_1e-05
75,fitz_type,type iv,3,0.48114777,type v,mac_hybrid_200_2048_1e-05
76,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
77,age,adult,0,0.99977785,adult,mac_hybrid_200_2048_1e-05
78,hair_type,curly,1,0.9180543,curly,mac_hybrid_200_2048_1e-05
79,hair_color,black,0,0.9927101,black,mac_hybrid_200_2048_1e-05
80,eye_color,black,1,0.9068827,black,mac_hybrid_200_2048_1e-05
81,monk_scale,scale 5,5,0.26820752,scale 6,mac_hybrid_200_2048_1e-05
82,fitz_type,type iv,3,0.55197453,type iv,mac_hybrid_200_2048_1e-05
83,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
84,age,adult,0,0.99969554,adult,mac_hybrid_200_2048_1e-05
85,hair_type,curly,1,0.2622142,straight,mac_hybrid_200_2048_1e-05
86,hair_color,black,0,0.94005466,black,mac_hybrid_200_2048_1e-05
87,eye_color,black,1,0.84307855,black,mac_hybrid_200_2048_1e-05
88,monk_scale,scale 5,5,0.06879627,scale 8,mac_hybrid_200_2048_1e-05
89,fitz_type,type iv,3,0.7579267,type iv,mac_hybrid_200_2048_1e-05
90,male,1,1,1.0,1,mac_hybrid_200_2048_1e-05
91,age,adult,0,0.99615794,adult,mac_hybrid_200_2048_1e-05
92,hair_type,curly,1,0.63889825,curly,mac_hybrid_200_2048_1e-05
93,hair_color,black,0,0.9966282,black,mac_hybrid_200_2048_1e-05
94,eye_color,black,1,0.883459,black,mac_hybrid_200_2048_1e-05
