,Atributo,label da classe predita pelo modelo em INFERÊNCIA,índice da classe predita pelo modelo em modo de INFERÊNCIA,predição do modelo em TREINAMENTO para a classe predita pelo modelo em INFERÊNCIA,label da classe predita pelo modelo em TREINAMENTO,model
0,age,adult,0,0.57772684,adult,mac_hybrid_200_2048_1e-05
1,hair_type,wavy,3,0.95196325,wavy,mac_hybrid_200_2048_1e-05
2,hair_color,brunette,3,0.9603402,brunette,mac_hybrid_200_2048_1e-05
3,eye_color,blue,2,0.05956576,green,mac_hybrid_200_2048_1e-05
4,monk_scale,scale 4,4,0.9744196,scale 4,mac_hybrid_200_2048_1e-05
5,fitz_type,type i,0,0.9993862,type i,mac_hybrid_200_2048_1e-05
6,male,0,0,0.9999323,0,mac_hybrid_200_2048_1e-05
7,age,adult,0,0.9548515,adult,mac_hybrid_200_2048_1e-05
8,hair_type,wavy,3,0.9946371,wavy,mac_hybrid_200_2048_1e-05
9,hair_color,brunette,3,0.9187095,brunette,mac_hybrid_200_2048_1e-05
10,eye_color,blue,2,0.6324583,blue,mac_hybrid_200_2048_1e-05
11,monk_scale,scale 4,4,0.6914251,scale 4,mac_hybrid_200_2048_1e-05
12,fitz_type,type i,0,0.9314656,type i,mac_hybrid_200_2048_1e-05
13,male,0,0,0.99998057,0,mac_hybrid_200_2048_1e-05
14,age,adult,0,0.8585296,adult,mac_hybrid_200_2048_1e-05
15,hair_type,wavy,3,0.9780874,wavy,mac_hybrid_200_2048_1e-05
16,hair_color,brunette,3,0.095497474,black,mac_hybrid_200_2048_1e-05
17,eye_color,blue,2,0.44980934,blue,mac_hybrid_200_2048_1e-05
18,monk_scale,scale 4,4,0.3663002,scale 2,mac_hybrid_200_2048_1e-05
19,fitz_type,type i,0,0.9997311,type i,mac_hybrid_200_2048_1e-05
20,male,0,0,0.99977595,0,mac_hybrid_200_2048_1e-05
21,age,adult,0,0.525467,adult,mac_hybrid_200_2048_1e-05
22,hair_type,wavy,3,0.9663435,wavy,mac_hybrid_200_2048_1e-05
23,hair_color,brunette,3,0.9968143,brunette,mac_hybrid_200_2048_1e-05
24,eye_color,blue,2,0.7483139,blue,mac_hybrid_200_2048_1e-05
25,monk_scale,scale 4,4,0.95397985,scale 4,mac_hybrid_200_2048_1e-05
26,fitz_type,type i,0,0.9401355,type i,mac_hybrid_200_2048_1e-05
27,male,0,0,0.9999995,0,mac_hybrid_200_2048_1e-05
28,age,adult,0,0.8830947,adult,mac_hybrid_200_2048_1e-05
29,hair_type,wavy,3,0.9604566,wavy,mac_hybrid_200_2048_1e-05
30,hair_color,brunette,3,0.956897,brunette,mac_hybrid_200_2048_1e-05
31,eye_color,blue,2,0.058106817,brown,mac_hybrid_200_2048_1e-05
32,monk_scale,scale 4,4,0.7929804,scale 4,mac_hybrid_200_2048_1e-05
33,fitz_type,type i,0,0.9843933,type i,mac_hybrid_200_2048_1e-05
34,male,0,0,0.99993825,0,mac_hybrid_200_2048_1e-05
35,age,adult,0,0.20198785,young adult,mac_hybrid_200_2048_1e-05
36,hair_type,wavy,3,0.58130693,wavy,mac_hybrid_200_2048_1e-05
37,hair_color,brunette,3,0.941499,brunette,mac_hybrid_200_2048_1e-05
38,eye_color,blue,2,0.47779518,blue,mac_hybrid_200_2048_1e-05
39,monk_scale,scale 4,4,0.004606233,scale 2,mac_hybrid_200_2048_1e-05
40,fitz_type,type i,0,0.66725814,type i,mac_hybrid_200_2048_1e-05
41,male,0,0,0.9998958,0,mac_hybrid_200_2048_1e-05
42,age,adult,0,0.1257853,young adult,mac_hybrid_200_2048_1e-05
43,hair_type,wavy,3,0.9173745,wavy,mac_hybrid_200_2048_1e-05
44,hair_color,brunette,3,0.99635065,brunette,mac_hybrid_200_2048_1e-05
45,eye_color,blue,2,0.8320031,blue,mac_hybrid_200_2048_1e-05
46,monk_scale,scale 4,4,0.9210346,scale 4,mac_hybrid_200_2048_1e-05
47,fitz_type,type i,0,0.34669358,type iii,mac_hybrid_200_2048_1e-05
48,male,0,0,0.99991715,0,mac_hybrid_200_2048_1e-05
49,age,adult,0,0.87561345,adult,mac_hybrid_200_2048_1e-05
50,hair_type,wavy,3,0.93332267,wavy,mac_hybrid_200_2048_1e-05
51,hair_color,brunette,3,0.600782,brunette,mac_hybrid_200_2048_1e-05
52,eye_color,blue,2,0.3593099,green,mac_hybrid_200_2048_1e-05
53,monk_scale,scale 4,4,0.22040878,scale 2,mac_hybrid_200_2048_1e-05
54,fitz_type,type i,0,0.99885786,type i,mac_hybrid_200_2048_1e-05
55,male,0,0,0.99953485,0,mac_hybrid_200_2048_1e-05
56,age,adult,0,0.8308623,adult,mac_hybrid_200_2048_1e-05
57,hair_type,wavy,3,0.9953832,wavy,mac_hybrid_200_2048_1e-05
58,hair_color,brunette,3,0.9971233,brunette,mac_hybrid_200_2048_1e-05
59,eye_color,blue,2,0.8570865,blue,mac_hybrid_200_2048_1e-05
60,monk_scale,scale 4,4,0.46511996,scale 2,mac_hybrid_200_2048_1e-05
61,fitz_type,type i,0,0.9957491,type i,mac_hybrid_200_2048_1e-05
62,male,0,0,0.9999933,0,mac_hybrid_200_2048_1e-05
63,age,adult,0,0.33993942,young adult,mac_hybrid_200_2048_1e-05
64,hair_type,wavy,3,0.9472701,wavy,mac_hybrid_200_2048_1e-05
65,hair_color,brunette,3,0.9861233,brunette,mac_hybrid_200_2048_1e-05
66,eye_color,blue,2,0.589204,blue,mac_hybrid_200_2048_1e-05
67,monk_scale,scale 4,4,0.11006319,scale 2,mac_hybrid_200_2048_1e-05
68,fitz_type,type i,0,0.94817257,type i,mac_hybrid_200_2048_1e-05
69,male,0,0,0.99996614,0,mac_hybrid_200_2048_1e-05
70,age,adult,0,0.068274714,young adult,mac_hybrid_200_2048_1e-05
71,hair_type,wavy,3,0.9258669,wavy,mac_hybrid_200_2048_1e-05
72,hair_color,brunette,3,0.9764123,brunette,mac_hybrid_200_2048_1e-05
73,eye_color,blue,2,0.6114292,blue,mac_hybrid_200_2048_1e-05
74,monk_scale,scale 4,4,0.14056285,scale 2,mac_hybrid_200_2048_1e-05
75,fitz_type,type i,0,0.9996001,type i,mac_hybrid_200_2048_1e-05
76,male,0,0,0.9999964,0,mac_hybrid_200_2048_1e-05
77,age,adult,0,0.39689848,young adult,mac_hybrid_200_2048_1e-05
78,hair_type,wavy,3,0.41990063,straight,mac_hybrid_200_2048_1e-05
79,hair_color,brunette,3,0.98686975,brunette,mac_hybrid_200_2048_1e-05
80,eye_color,blue,2,0.023252804,brown,mac_hybrid_200_2048_1e-05
81,monk_scale,scale 4,4,0.80755436,scale 4,mac_hybrid_200_2048_1e-05
82,fitz_type,type i,0,0.9310532,type i,mac_hybrid_200_2048_1e-05
83,male,0,0,0.9999919,0,mac_hybrid_200_2048_1e-05
84,age,adult,0,0.96934086,adult,mac_hybrid_200_2048_1e-05
85,hair_type,wavy,3,0.9449819,wavy,mac_hybrid_200_2048_1e-05
86,hair_color,brunette,3,0.9885993,brunette,mac_hybrid_200_2048_1e-05
87,eye_color,blue,2,0.07905873,hazel,mac_hybrid_200_2048_1e-05
88,monk_scale,scale 4,4,0.75773937,scale 4,mac_hybrid_200_2048_1e-05
89,fitz_type,type i,0,0.9808436,type i,mac_hybrid_200_2048_1e-05
90,male,0,0,0.9999926,0,mac_hybrid_200_2048_1e-05
91,age,adult,0,0.8500135,adult,mac_hybrid_200_2048_1e-05
92,hair_type,wavy,3,0.90324503,wavy,mac_hybrid_200_2048_1e-05
93,hair_color,brunette,3,0.99893457,brunette,mac_hybrid_200_2048_1e-05
94,eye_color,blue,2,0.2160325,green,mac_hybrid_200_2048_1e-05
95,monk_scale,scale 4,4,0.53844124,scale 4,mac_hybrid_200_2048_1e-05
96,fitz_type,type i,0,0.92237616,type i,mac_hybrid_200_2048_1e-05
97,male,0,0,0.99998105,0,mac_hybrid_200_2048_1e-05
98,age,adult,0,0.8297209,adult,mac_hybrid_200_2048_1e-05
99,hair_type,wavy,3,0.93273115,wavy,mac_hybrid_200_2048_1e-05
100,hair_color,brunette,3,0.98512936,brunette,mac_hybrid_200_2048_1e-05
101,eye_color,blue,2,0.7359264,blue,mac_hybrid_200_2048_1e-05
102,monk_scale,scale 4,4,0.87095535,scale 4,mac_hybrid_200_2048_1e-05
103,fitz_type,type i,0,0.5742688,type i,mac_hybrid_200_2048_1e-05
104,male,0,0,0.9999987,0,mac_hybrid_200_2048_1e-05
105,age,adult,0,0.557139,adult,mac_hybrid_200_2048_1e-05
106,hair_type,wavy,3,0.81163543,wavy,mac_hybrid_200_2048_1e-05
107,hair_color,brunette,3,0.42852423,black,mac_hybrid_200_2048_1e-05
108,eye_color,blue,2,0.90466547,blue,mac_hybrid_200_2048_1e-05
109,monk_scale,scale 4,4,0.7304674,scale 4,mac_hybrid_200_2048_1e-05
110,fitz_type,type i,0,0.99503785,type i,mac_hybrid_200_2048_1e-05
111,male,0,0,0.9993332,0,mac_hybrid_200_2048_1e-05
112,age,adult,0,0.6802875,adult,mac_hybrid_200_2048_1e-05
113,hair_type,wavy,3,0.96403384,wavy,mac_hybrid_200_2048_1e-05
114,hair_color,brunette,3,0.981478,brunette,mac_hybrid_200_2048_1e-05
115,eye_color,blue,2,0.7631483,blue,mac_hybrid_200_2048_1e-05
116,monk_scale,scale 4,4,0.32218552,scale 2,mac_hybrid_200_2048_1e-05
117,fitz_type,type i,0,0.9956857,type i,mac_hybrid_200_2048_1e-05
118,male,0,0,0.9999479,0,mac_hybrid_200_2048_1e-05
